,Asite,Bsite,Type,At2g,Aeg,Ad,Ap,Bt2g,Beg,Bd,Bp,Op,Asite X,Bsite X,Asite CS,Bsite CS,Asite IP,Bsite IP,Asite EA,Bsite EA,Asite s,Bsite s,Asite p,Bsite p,Asite d,Bsite d,Asite atomic_radius,Asite average_ionic_radius,Asite mendeleev_no,Bsite atomic_radius,Bsite average_ionic_radius,Bsite mendeleev_no,Asite exp_IP,Asite exp_EA,Bsite exp_IP,Bsite exp_EA,Asite covalency,Bsite covalency,GM,Asite Z,Bsite Z,Work function
0,Rb,Al,B,0.00000,0.00000,0.00000,-6.54587,0.00000,0.00000,0.00000,7.45672,-0.61964,0.82000,1.61000,0.30000,1.66000,4.05280,5.71090,0.57940,0.25720,1.67000,0.77000,2.43000,0.90500,0.71000,0.00000,2.35000,1.66000,9.00000,1.25000,0.67500,80.00000,403.00000,46.90000,577.50000,42.50000,0.17977,0.43291,5.03624,37,13,7.39003
1,Rb,Al,A,0.00000,0.00000,0.00000,-6.54587,0.00000,0.00000,0.00000,7.45672,-0.61964,0.82000,1.61000,0.30000,1.66000,4.05280,5.71090,0.57940,0.25720,1.67000,0.77000,2.43000,0.90500,0.71000,0.00000,2.35000,1.66000,9.00000,1.25000,0.67500,80.00000,403.00000,46.90000,577.50000,42.50000,0.17977,0.43291,5.03624,37,13,3.73413
2,Rb,Ga,B,0.00000,0.00000,0.00000,-6.72591,0.99991,0.99823,0.99923,6.50648,-0.48998,0.82000,1.81000,0.30000,1.68000,4.05280,5.65650,0.57940,0.16860,1.67000,0.76000,2.43000,0.93500,0.71000,0.17000,2.35000,1.66000,9.00000,1.30000,0.76000,81.00000,403.00000,46.90000,578.80000,28.90000,0.17977,0.51467,5.02685,37,31,7.53396
3,Rb,Ga,A,0.00000,0.00000,0.00000,-6.72591,0.99991,0.99823,0.99923,6.50648,-0.48998,0.82000,1.81000,0.30000,1.68000,4.05280,5.65650,0.57940,0.16860,1.67000,0.76000,2.43000,0.93500,0.71000,0.17000,2.35000,1.66000,9.00000,1.30000,0.76000,81.00000,403.00000,46.90000,578.80000,28.90000,0.17977,0.51467,5.02685,37,31,4.16464
4,Rb,In,B,0.00000,0.00000,0.00000,-7.24127,0.99987,0.99196,0.99670,6.31500,-0.37424,0.82000,1.78000,0.30000,1.60000,4.05280,5.37820,0.57940,0.28220,1.67000,0.94000,2.43000,1.11000,0.71000,0.36000,2.35000,1.66000,9.00000,1.55000,0.94000,79.00000,403.00000,46.90000,558.30000,28.90000,0.17977,0.50213,4.99503,37,49,6.69368
5,Rb,In,A,0.00000,0.00000,0.00000,-7.24127,0.99987,0.99196,0.99670,6.31500,-0.37424,0.82000,1.78000,0.30000,1.60000,4.05280,5.37820,0.57940,0.28220,1.67000,0.94000,2.43000,1.11000,0.71000,0.36000,2.35000,1.66000,9.00000,1.55000,0.94000,79.00000,403.00000,46.90000,558.30000,28.90000,0.17977,0.50213,4.99503,37,49,4.73135
6,Rb,Ge,B,0.00000,0.00000,0.00000,-6.59927,0.99997,0.99941,0.99974,4.50540,-0.79428,0.82000,2.01000,0.30000,1.92000,4.05280,7.41670,0.57940,0.93400,1.67000,0.72000,2.43000,0.84000,0.71000,0.16000,2.35000,1.66000,9.00000,1.25000,0.77000,84.00000,403.00000,46.90000,762.00000,119.00000,0.17977,0.59976,5.40527,37,32,7.59460
7,Rb,Ge,A,0.00000,0.00000,0.00000,-6.59927,0.99997,0.99941,0.99974,4.50540,-0.79428,0.82000,2.01000,0.30000,1.92000,4.05280,7.41670,0.57940,0.93400,1.67000,0.72000,2.43000,0.84000,0.71000,0.16000,2.35000,1.66000,9.00000,1.25000,0.77000,84.00000,403.00000,46.90000,762.00000,119.00000,0.17977,0.59976,5.40527,37,32,3.48280
8,Rb,Sn,B,0.00000,0.00000,0.00000,-7.17915,0.99993,0.99868,0.99943,4.93922,-0.59347,0.82000,1.96000,0.30000,1.84000,4.05280,6.88850,0.57940,1.02580,1.67000,0.88000,2.43000,1.00000,0.71000,0.34500,2.35000,1.66000,9.00000,1.45000,0.83000,83.00000,403.00000,46.90000,708.60000,107.30000,0.17977,0.57834,5.33285,37,50,6.78685
9,Rb,Sn,A,0.00000,0.00000,0.00000,-7.17915,0.99993,0.99868,0.99943,4.93922,-0.59347,0.82000,1.96000,0.30000,1.84000,4.05280,6.88850,0.57940,1.02580,1.67000,0.88000,2.43000,1.00000,0.71000,0.34500,2.35000,1.66000,9.00000,1.45000,0.83000,83.00000,403.00000,46.90000,708.60000,107.30000,0.17977,0.57834,5.33285,37,50,4.39669
