,Asite,Bsite,Type,At2g,Ap,Bt2g,Beg,Bp,Op,Bsite X,Bsite CS,Asite IP,Bsite IP,Asite EA,Bsite EA,Asite s,Asite d,Bsite d,Bsite atomic_radius,Bsite average_ionic_radius,Asite exp_EA,Bsite exp_EA,GM,Asite Z,Work function
0,Rb,Al,B,0.0,-6.54587,0.0,0.0,7.45672,-0.61964,1.61,1.66,4.0528,5.7109,0.5794,0.2572,1.67,0.71,0.0,1.25,0.675,46.9,42.5,5.03624,37,7.39003
1,Rb,Al,A,0.0,-6.54587,0.0,0.0,7.45672,-0.61964,1.61,1.66,4.0528,5.7109,0.5794,0.2572,1.67,0.71,0.0,1.25,0.675,46.9,42.5,5.03624,37,3.7341300000000004
2,Rb,Ga,B,0.0,-6.725910000000001,0.9999100000000001,0.99823,6.506480000000001,-0.48998,1.81,1.68,4.0528,5.6565,0.5794,0.1686,1.67,0.71,0.17,1.3,0.76,46.9,28.9,5.02685,37,7.53396
3,Rb,Ga,A,0.0,-6.725910000000001,0.9999100000000001,0.99823,6.506480000000001,-0.48998,1.81,1.68,4.0528,5.6565,0.5794,0.1686,1.67,0.71,0.17,1.3,0.76,46.9,28.9,5.02685,37,4.16464
4,Rb,In,B,0.0,-7.24127,0.99987,0.9919600000000001,6.315,-0.37424,1.78,1.6,4.0528,5.3782,0.5794,0.2822,1.67,0.71,0.36,1.55,0.94,46.9,28.9,4.99503,37,6.6936800000000005
5,Rb,In,A,0.0,-7.24127,0.99987,0.9919600000000001,6.315,-0.37424,1.78,1.6,4.0528,5.3782,0.5794,0.2822,1.67,0.71,0.36,1.55,0.94,46.9,28.9,4.99503,37,4.73135
6,Rb,Ge,B,0.0,-6.59927,0.99997,0.99941,4.5054,-0.79428,2.01,1.92,4.0528,7.4167,0.5794,0.934,1.67,0.71,0.16,1.25,0.77,46.9,119.0,5.40527,37,7.5946
7,Rb,Ge,A,0.0,-6.59927,0.99997,0.99941,4.5054,-0.79428,2.01,1.92,4.0528,7.4167,0.5794,0.934,1.67,0.71,0.16,1.25,0.77,46.9,119.0,5.40527,37,3.4828
8,Rb,Sn,B,0.0,-7.17915,0.9999299999999999,0.9986799999999999,4.93922,-0.5934699999999999,1.96,1.84,4.0528,6.8885,0.5794,1.0258,1.67,0.71,0.345,1.45,0.83,46.9,107.3,5.33285,37,6.78685
9,Rb,Sn,A,0.0,-7.17915,0.9999299999999999,0.9986799999999999,4.93922,-0.5934699999999999,1.96,1.84,4.0528,6.8885,0.5794,1.0258,1.67,0.71,0.345,1.45,0.83,46.9,107.3,5.33285,37,4.39669
10,Rb,Sb,B,0.0,-7.34127,0.99995,0.9990600000000001,2.85482,-1.15985,2.05,2.08,4.0528,8.3266,0.5794,1.8032,1.67,0.71,0.335,1.45,0.83,46.9,103.2,5.46279,37,6.22112
11,Rb,Sb,A,0.0,-7.34127,0.99995,0.9990600000000001,2.85482,-1.15985,2.05,2.08,4.0528,8.3266,0.5794,1.8032,1.67,0.71,0.335,1.45,0.83,46.9,103.2,5.46279,37,3.8907599999999998
12,Cs,Sc,B,0.0,-4.64414,0.11245,0.20228,-25.23559,-0.49408,1.36,0.74,3.6887,6.8245,0.5471,0.0,1.71,0.0,0.31,1.6,0.885,45.5,18.1,4.9987699999999995,55,6.70719
13,Cs,Sc,A,0.0,-4.64414,0.11245,0.20228,-25.23559,-0.49408,1.36,0.74,3.6887,6.8245,0.5471,0.0,1.71,0.0,0.31,1.6,0.885,45.5,18.1,4.9987699999999995,55,4.3523
14,Cs,Ti,B,0.0,-4.4669099999999995,0.19559,0.27892,-32.481359999999995,-1.03025,1.54,0.79,3.6887,7.2564,0.5471,0.2526,1.71,0.0,0.28,1.4,0.85167,45.5,7.6,5.03127,55,7.144539999999999
15,Cs,Ti,A,0.0,-4.4669099999999995,0.19559,0.27892,-32.481359999999995,-1.03025,1.54,0.79,3.6887,7.2564,0.5471,0.2526,1.71,0.0,0.28,1.4,0.85167,45.5,7.6,5.03127,55,3.4524
16,Cs,Zr,B,0.0,-4.65145,0.19003,0.28135,-24.754929999999998,-0.49562,1.33,0.76,3.6887,6.8953,0.5471,0.0,1.71,0.0,0.54,1.55,0.86,45.5,41.1,5.08551,55,6.47982
17,Cs,Zr,A,0.0,-4.65145,0.19003,0.28135,-24.754929999999998,-0.49562,1.33,0.76,3.6887,6.8953,0.5471,0.0,1.71,0.0,0.54,1.55,0.86,45.5,41.1,5.08551,55,4.09229
18,Cs,Hf,B,0.0,-4.6022,0.19346,0.28323000000000004,-28.3428,-0.49323999999999996,1.3,0.775,3.6887,7.6487,0.5471,0.4432,1.71,0.0,0.63,1.55,0.85,45.5,0.0,5.12945,55,6.48391
19,Cs,Hf,A,0.0,-4.6022,0.19346,0.28323000000000004,-28.3428,-0.49323999999999996,1.3,0.775,3.6887,7.6487,0.5471,0.4432,1.71,0.0,0.63,1.55,0.85,45.5,0.0,5.12945,55,4.03376
20,Cs,V,B,0.0,-4.44134,0.32018,0.33311999999999997,-38.74522,-1.59585,1.63,0.84,3.6887,6.4707,0.5471,0.0,1.71,0.0,0.26,1.35,0.7775,45.5,50.6,5.07428,55,6.3865
21,Cs,V,A,0.0,-4.44134,0.32018,0.33311999999999997,-38.74522,-1.59585,1.63,0.84,3.6887,6.4707,0.5471,0.0,1.71,0.0,0.26,1.35,0.7775,45.5,50.6,5.07428,55,2.4373299999999998
22,Cs,Nb,B,0.0,-5.09702,0.30027,0.35241999999999996,-31.23299,-1.65412,1.6,0.82,3.6887,6.275,0.5471,0.0864,1.71,0.0,0.51,1.45,0.82,45.5,86.1,5.18234,55,4.17325
23,Cs,Nb,A,0.0,-5.09702,0.30027,0.35241999999999996,-31.23299,-1.65412,1.6,0.82,3.6887,6.275,0.5471,0.0864,1.71,0.0,0.51,1.45,0.82,45.5,86.1,5.18234,55,3.25037
24,Cs,Ta,B,0.0,-4.99026,0.27395,0.33759,-34.36057,-1.51941,1.5,0.83,3.6887,7.3632,0.5471,1.1716,1.71,0.0,0.605,1.45,0.82,45.5,31.0,5.21054,55,3.3595
25,Cs,Ta,A,0.0,-4.99026,0.27395,0.33759,-34.36057,-1.51941,1.5,0.83,3.6887,7.3632,0.5471,1.1716,1.71,0.0,0.605,1.45,0.82,45.5,31.0,5.21054,55,3.3248300000000004
26,Cs,Cr,B,0.0,-5.06323,0.50635,0.3656,-44.219879999999996,-2.36036,1.66,0.89,3.6887,6.7401,0.5471,1.3828,1.71,0.0,0.25,1.4,0.94,45.5,64.3,5.10767,55,5.89829
27,Cs,Cr,A,0.0,-5.06323,0.50635,0.3656,-44.219879999999996,-2.36036,1.66,0.89,3.6887,6.7401,0.5471,1.3828,1.71,0.0,0.25,1.4,0.94,45.5,64.3,5.10767,55,1.9810400000000001
28,Cs,Mo,B,0.0,-6.1124,0.47103999999999996,0.36978,-36.355990000000006,-3.05772,2.16,0.88,3.6887,6.4838,0.5471,1.3549,1.71,0.0,0.49,1.45,0.775,45.5,71.9,5.1561699999999995,55,4.23539
29,Cs,Mo,A,0.0,-6.1124,0.47103999999999996,0.36978,-36.355990000000006,-3.05772,2.16,0.88,3.6887,6.4838,0.5471,1.3549,1.71,0.0,0.49,1.45,0.775,45.5,71.9,5.1561699999999995,55,1.42356
30,Cs,W,B,0.0,-6.713439999999999,0.44028999999999996,0.352,-39.842040000000004,-3.64825,2.36,0.885,3.6887,7.6293,0.5471,1.9369,1.71,0.0,0.59,1.35,0.76667,45.5,78.6,5.2820800000000006,55,3.53885
31,Cs,W,A,0.0,-6.713439999999999,0.44028999999999996,0.352,-39.842040000000004,-3.64825,2.36,0.885,3.6887,7.6293,0.5471,1.9369,1.71,0.0,0.59,1.35,0.76667,45.5,78.6,5.2820800000000006,55,0.8818600000000001
32,Cs,Mn,B,0.0,-5.0843,0.61534,0.38611,-49.05907,-2.35755,1.55,0.94,3.6887,8.2684,0.5471,1.8221,1.71,0.0,0.23,1.4,0.6483300000000001,45.5,0.0,5.10767,55,6.30132
33,Cs,Mn,A,0.0,-5.0843,0.61534,0.38611,-49.05907,-2.35755,1.55,0.94,3.6887,8.2684,0.5471,1.8221,1.71,0.0,0.23,1.4,0.6483300000000001,45.5,0.0,5.10767,55,2.20395
34,Cs,Re,B,0.0,-6.5353900000000005,0.5935699999999999,0.37206,-43.539320000000004,-3.66456,1.9,0.94,3.6887,7.853,0.5471,2.7319,1.71,0.0,0.565,1.35,0.7125,45.5,14.5,5.18751,55,4.31389
35,Cs,Re,A,0.0,-6.5353900000000005,0.5935699999999999,0.37206,-43.539320000000004,-3.66456,1.9,0.94,3.6887,7.853,0.5471,2.7319,1.71,0.0,0.565,1.35,0.7125,45.5,14.5,5.18751,55,0.9935700000000001
36,Cs,Fe,B,0.0,-4.99754,0.71786,0.46858,-53.896409999999996,-2.14825,1.83,0.99,3.6887,8.5601,0.5471,2.304,1.71,0.0,0.22,1.4,0.8525,45.5,15.7,5.1978,55,6.76704
37,Cs,Fe,A,0.0,-4.99754,0.71786,0.46858,-53.896409999999996,-2.14825,1.83,0.99,3.6887,8.5601,0.5471,2.304,1.71,0.0,0.22,1.4,0.8525,45.5,15.7,5.1978,55,2.55662
38,Cs,Al,B,0.0,-4.40747,0.0,0.0,6.61868,-0.83475,1.61,1.66,3.6887,5.7109,0.5471,0.2572,1.71,0.0,0.0,1.25,0.675,45.5,42.5,4.9654,55,7.24976
39,Cs,Al,A,0.0,-4.40747,0.0,0.0,6.61868,-0.83475,1.61,1.66,3.6887,5.7109,0.5471,0.2572,1.71,0.0,0.0,1.25,0.675,45.5,42.5,4.9654,55,3.49539
40,Cs,Ga,B,0.0,-4.36966,0.99985,0.99854,5.8097,-0.64291,1.81,1.68,3.6887,5.6565,0.5471,0.1686,1.71,0.0,0.17,1.3,0.76,45.5,28.9,4.95615,55,7.45282
41,Cs,Ga,A,0.0,-4.36966,0.99985,0.99854,5.8097,-0.64291,1.81,1.68,3.6887,5.6565,0.5471,0.1686,1.71,0.0,0.17,1.3,0.76,45.5,28.9,4.95615,55,3.9076
42,Cs,In,B,0.0,-4.57146,0.99985,0.9948600000000001,5.8872800000000005,-0.41136999999999996,1.78,1.6,3.6887,5.3782,0.5471,0.2822,1.71,0.0,0.36,1.55,0.94,45.5,28.9,4.92478,55,6.833469999999999
43,Cs,In,A,0.0,-4.57146,0.99985,0.9948600000000001,5.8872800000000005,-0.41136999999999996,1.78,1.6,3.6887,5.3782,0.5471,0.2822,1.71,0.0,0.36,1.55,0.94,45.5,28.9,4.92478,55,4.46301
44,Cs,Ge,B,0.0,-4.32793,0.9999600000000001,0.9994299999999999,3.80079,-0.98621,2.01,1.92,3.6887,7.4167,0.5471,0.934,1.71,0.0,0.16,1.25,0.77,45.5,119.0,5.32924,55,7.6512
45,Cs,Ge,A,0.0,-4.32793,0.9999600000000001,0.9994299999999999,3.80079,-0.98621,2.01,1.92,3.6887,7.4167,0.5471,0.934,1.71,0.0,0.16,1.25,0.77,45.5,119.0,5.32924,55,3.3826400000000003
46,Cs,Sn,B,0.0,-4.47535,0.9999299999999999,0.9986700000000001,4.47444,-0.65031,1.96,1.84,3.6887,6.8885,0.5471,1.0258,1.71,0.0,0.345,1.45,0.83,45.5,107.3,5.25785,55,6.97935
47,Cs,Sn,A,0.0,-4.47535,0.9999299999999999,0.9986700000000001,4.47444,-0.65031,1.96,1.84,3.6887,6.8885,0.5471,1.0258,1.71,0.0,0.345,1.45,0.83,45.5,107.3,5.25785,55,4.09872
48,Cs,Sb,B,0.0,-4.35582,0.9999600000000001,0.99916,2.55772,-0.99098,2.05,2.08,3.6887,8.3266,0.5471,1.8032,1.71,0.0,0.335,1.45,0.83,45.5,103.2,5.38595,55,6.5727899999999995
49,Cs,Sb,A,0.0,-4.35582,0.9999600000000001,0.99916,2.55772,-0.99098,2.05,2.08,3.6887,8.3266,0.5471,1.8032,1.71,0.0,0.335,1.45,0.83,45.5,103.2,5.38595,55,3.72131
