,Asite,Bsite,Type,At2g,Ap,Bt2g,Beg,Bp,Op,Bsite CS,Asite IP,Asite EA,Bsite EA,Asite s,Asite d,Bsite atomic_radius,Bsite average_ionic_radius,Asite exp_EA,GM,Asite Z,Work function
1,Rb,Al,A,0.0,-6.54587,0.0,0.0,7.45672,-0.61964,1.66,4.0528,0.5794,0.2572,1.67,0.71,1.25,0.675,46.9,5.03624,37,3.73413
3,Rb,Ga,A,0.0,-6.725910000000002,0.99991,0.99823,6.506480000000002,-0.48998,1.68,4.0528,0.5794,0.1686,1.67,0.71,1.3,0.76,46.9,5.02685,37,4.16464
5,Rb,In,A,0.0,-7.24127,0.99987,0.99196,6.315,-0.37424,1.6,4.0528,0.5794,0.2822,1.67,0.71,1.55,0.94,46.9,4.99503,37,4.73135
7,Rb,Ge,A,0.0,-6.59927,0.99997,0.99941,4.5054,-0.79428,1.92,4.0528,0.5794,0.934,1.67,0.71,1.25,0.77,46.9,5.40527,37,3.4828
9,Rb,Sn,A,0.0,-7.17915,0.99993,0.99868,4.93922,-0.5934699999999999,1.84,4.0528,0.5794,1.0258,1.67,0.71,1.45,0.83,46.9,5.33285,37,4.39669
11,Rb,Sb,A,0.0,-7.34127,0.99995,0.99906,2.85482,-1.15985,2.08,4.0528,0.5794,1.8032,1.67,0.71,1.45,0.83,46.9,5.46279,37,3.89076
13,Cs,Sc,A,0.0,-4.64414,0.11245,0.20228,-25.23559,-0.49408,0.74,3.6887,0.5471,0.0,1.71,0.0,1.6,0.885,45.5,4.99877,55,4.3523
15,Cs,Ti,A,0.0,-4.46691,0.19559,0.27892,-32.481359999999995,-1.03025,0.79,3.6887,0.5471,0.2526,1.71,0.0,1.4,0.85167,45.5,5.03127,55,3.4524
17,Cs,Zr,A,0.0,-4.65145,0.19003,0.28135,-24.75493,-0.49562,0.76,3.6887,0.5471,0.0,1.71,0.0,1.55,0.86,45.5,5.08551,55,4.09229
19,Cs,Hf,A,0.0,-4.6022,0.19346,0.28323000000000004,-28.3428,-0.49324,0.775,3.6887,0.5471,0.4432,1.71,0.0,1.55,0.85,45.5,5.12945,55,4.03376
21,Cs,V,A,0.0,-4.44134,0.32018,0.33312,-38.74522,-1.59585,0.84,3.6887,0.5471,0.0,1.71,0.0,1.35,0.7775,45.5,5.07428,55,2.43733
23,Cs,Nb,A,0.0,-5.09702,0.30027,0.35242,-31.23299,-1.65412,0.82,3.6887,0.5471,0.0864,1.71,0.0,1.45,0.82,45.5,5.18234,55,3.25037
25,Cs,Ta,A,0.0,-4.99026,0.27395,0.33759,-34.36057,-1.51941,0.83,3.6887,0.5471,1.1716,1.71,0.0,1.45,0.82,45.5,5.21054,55,3.3248300000000004
27,Cs,Cr,A,0.0,-5.06323,0.50635,0.3656,-44.21988,-2.36036,0.89,3.6887,0.5471,1.3828,1.71,0.0,1.4,0.94,45.5,5.10767,55,1.98104
29,Cs,Mo,A,0.0,-6.1124,0.47104,0.36978,-36.35599000000001,-3.05772,0.88,3.6887,0.5471,1.3549,1.71,0.0,1.45,0.775,45.5,5.15617,55,1.42356
31,Cs,W,A,0.0,-6.7134399999999985,0.44029,0.35200000000000004,-39.84204,-3.64825,0.885,3.6887,0.5471,1.9369,1.71,0.0,1.35,0.76667,45.5,5.2820800000000006,55,0.8818600000000001
33,Cs,Mn,A,0.0,-5.0843,0.61534,0.38611,-49.05907,-2.35755,0.94,3.6887,0.5471,1.8221,1.71,0.0,1.4,0.6483300000000001,45.5,5.10767,55,2.20395
35,Cs,Re,A,0.0,-6.5353900000000005,0.5935699999999999,0.37206,-43.53932,-3.66456,0.94,3.6887,0.5471,2.7319,1.71,0.0,1.35,0.7125,45.5,5.18751,55,0.99357
37,Cs,Fe,A,0.0,-4.99754,0.71786,0.46858,-53.89641,-2.14825,0.99,3.6887,0.5471,2.3040000000000003,1.71,0.0,1.4,0.8525,45.5,5.1978,55,2.55662
39,Cs,Al,A,0.0,-4.40747,0.0,0.0,6.61868,-0.83475,1.66,3.6887,0.5471,0.2572,1.71,0.0,1.25,0.675,45.5,4.9654,55,3.49539
41,Cs,Ga,A,0.0,-4.36966,0.99985,0.99854,5.8097,-0.64291,1.68,3.6887,0.5471,0.1686,1.71,0.0,1.3,0.76,45.5,4.95615,55,3.9076
43,Cs,In,A,0.0,-4.57146,0.99985,0.99486,5.8872800000000005,-0.41137,1.6,3.6887,0.5471,0.2822,1.71,0.0,1.55,0.94,45.5,4.92478,55,4.46301
45,Cs,Ge,A,0.0,-4.32793,0.99996,0.99943,3.80079,-0.98621,1.92,3.6887,0.5471,0.934,1.71,0.0,1.25,0.77,45.5,5.32924,55,3.3826400000000003
47,Cs,Sn,A,0.0,-4.47535,0.99993,0.99867,4.47444,-0.65031,1.84,3.6887,0.5471,1.0258,1.71,0.0,1.45,0.83,45.5,5.25785,55,4.09872
49,Cs,Sb,A,0.0,-4.35582,0.99996,0.99916,2.55772,-0.99098,2.08,3.6887,0.5471,1.8032,1.71,0.0,1.45,0.83,45.5,5.38595,55,3.72131
51,K,Zr,A,0.0,-10.55876,0.19241,0.28814,-24.17189,-0.4954,0.76,4.2663,0.5992,0.0,1.54,0.37,1.55,0.86,48.4,5.19285,19,4.94129
53,K,Hf,A,0.0,-10.47393,0.19636,0.29147,-27.68131,-0.49381,0.775,4.2663,0.5992,0.4432,1.54,0.37,1.55,0.85,48.4,5.23772,19,4.88951
55,K,V,A,0.0,-10.31691,0.308,0.35577,-38.66192,-1.7607,0.84,4.2663,0.5992,0.0,1.54,0.37,1.35,0.7775,48.4,5.18139,19,3.21099
57,K,Nb,A,0.0,-11.41973,0.2969,0.36146,-31.04743,-1.97087,0.82,4.2663,0.5992,0.0864,1.54,0.37,1.45,0.82,48.4,5.29173,19,4.12956
59,K,Ta,A,0.0,-11.11685,0.27318000000000003,0.34779,-33.86935,-1.6615400000000002,0.83,4.2663,0.5992,1.1716,1.54,0.37,1.45,0.82,48.4,5.32052,19,4.19145
61,K,Cr,A,0.0,-10.85052,0.49195,0.39293,-44.31767,-2.52273,0.89,4.2663,0.5992,1.3828,1.54,0.37,1.4,0.94,48.4,5.21548,19,2.48776
63,K,Mo,A,0.0,-12.46419,0.4671300000000001,0.3813,-36.32419,-3.44153,0.88,4.2663,0.5992,1.3549,1.54,0.37,1.45,0.775,48.4,5.26501,19,1.9853
65,K,W,A,0.0,-13.18835,0.44141,0.36312,-39.77278,-4.15256,0.885,4.2663,0.5992,1.9369,1.54,0.37,1.35,0.76667,48.4,5.39357,19,1.41394
67,K,Mn,A,0.0,-10.66158,0.6036699999999999,0.41138,-49.31527,-2.49189,0.94,4.2663,0.5992,1.8221,1.54,0.37,1.4,0.6483300000000001,48.4,5.21548,19,2.73573
69,K,Re,A,0.0,-13.03292,0.58341,0.38412,-43.65698,-4.2377699999999985,0.94,4.2663,0.5992,2.7319,1.54,0.37,1.35,0.7125,48.4,5.29701,19,1.5077200000000002
70,K,In,A,0.0,-10.33147,0.99985,0.98987,6.4401,-0.4344,1.6,4.2663,0.5992,0.2822,1.54,0.37,1.55,0.94,48.4,5.02873,19,5.16611
73,Rb,Zr,A,0.0,-7.44481,0.191,0.28517,-24.36633,-0.45072,0.76,4.0528,0.5794,0.0,1.67,0.71,1.55,0.86,46.9,5.15806,37,4.44577
75,Rb,Hf,A,0.0,-7.35688,0.19488,0.28705,-27.89984,-0.41654,0.775,4.0528,0.5794,0.4432,1.67,0.71,1.55,0.85,46.9,5.20263,37,4.37935
77,Rb,V,A,0.0,-7.171360000000001,0.31135,0.34843,-38.65724,-1.57108,0.84,4.0528,0.5794,0.0,1.67,0.71,1.35,0.7775,46.9,5.1466699999999985,37,2.66608
79,Rb,Nb,A,0.0,-7.481610000000001,0.29791,0.35791,-30.39181,-1.09901,0.82,4.0528,0.5794,0.0864,1.67,0.71,1.45,0.82,46.9,5.25627,37,3.57637
81,Rb,Ta,A,0.0,-8.61519,0.27332,0.34329,-34.68517,-2.19126,0.83,4.0528,0.5794,1.1716,1.67,0.71,1.45,0.82,46.9,5.28487,37,3.63504
83,Rb,Cr,A,0.0,-7.77458,0.49723,0.38434,-44.29918,-2.37217,0.89,4.0528,0.5794,1.3828,1.67,0.71,1.4,0.94,46.9,5.18053,37,2.00523
85,Rb,Mo,A,0.0,-9.23258,0.46523,0.37701,-36.34217,-3.25666,0.88,4.0528,0.5794,1.3549,1.67,0.71,1.45,0.775,46.9,5.22973,37,1.51663
87,Rb,W,A,0.0,-9.92344,0.44234,0.35859,-39.80293,-3.9073,0.885,4.0528,0.5794,1.9369,1.67,0.71,1.35,0.76667,46.9,5.35743,37,0.95172
89,K,Fe,A,0.0,-10.34431,0.6955600000000001,0.48217,-54.26703000000001,-2.21383,0.99,4.2663,0.5992,2.3040000000000003,1.54,0.37,1.4,0.8525,48.4,5.30751,19,3.13734
91,K,Al,A,0.0,-9.4945,0.0,0.0,7.954160000000001,-0.6320899999999999,1.66,4.2663,0.5992,0.2572,1.54,0.37,1.25,0.675,48.4,5.07022,19,4.24552
93,K,Ga,A,0.0,-9.71682,0.9999,0.99797,6.825,-0.49648,1.68,4.2663,0.5992,0.1686,1.54,0.37,1.3,0.76,48.4,5.06076,19,4.65994
95,Rb,Mn,A,0.0,-7.64265,0.60928,0.40558,-49.24209000000001,-2.32379,0.94,4.0528,0.5794,1.8221,1.67,0.71,1.4,0.6483300000000001,46.9,5.18053,37,2.24855
97,Rb,Re,A,0.0,-9.75028,0.59008,0.37946,-43.62134,-3.9559,0.94,4.0528,0.5794,2.7319,1.67,0.71,1.35,0.7125,46.9,5.26152,37,1.04757
99,Rb,Fe,A,0.0,-7.396339999999999,0.70577,0.48493,-54.14327,-2.0451900000000003,0.99,4.0528,0.5794,2.3040000000000003,1.67,0.71,1.4,0.8525,46.9,5.27195,37,2.67473
101,Li,In,A,0.0,0.0,0.99977,0.98643,6.9299300000000015,-0.50948,1.6,5.3425,0.7046,0.2822,0.985,0.0,1.55,0.94,59.6,5.25301,3,7.542289999999999
103,Li,Ge,A,0.0,0.0,0.99994,0.99924,5.50064,-1.08526,1.92,5.3425,0.7046,0.934,0.985,0.0,1.25,0.77,59.6,5.68444,3,7.1837300000000015
105,Li,Sn,A,0.0,0.0,0.99989,0.99846,5.60222,-0.70055,1.84,5.3425,0.7046,1.0258,0.985,0.0,1.45,0.83,59.6,5.6082800000000015,3,7.868530000000002
