,Asite,Bsite,Type,At2g,Ap,Bt2g,Beg,Bp,Op,Bsite CS,Asite IP,Bsite IP,Asite d,Bsite d,Bsite atomic_radius,Asite exp_EA,Bsite exp_EA,GM,Asite Z,Work function
0,Rb,Al,B,0.0,-6.54587,0.0,0.0,7.45672,-0.61964,1.66,4.0528,5.7109,0.71,0.0,1.25,46.9,42.5,5.03624,37,7.39003
2,Rb,Ga,B,0.0,-6.725910000000002,0.99991,0.99823,6.506480000000002,-0.48998,1.68,4.0528,5.6565,0.71,0.17,1.3,46.9,28.9,5.02685,37,7.53396
4,Rb,In,B,0.0,-7.24127,0.99987,0.99196,6.315,-0.37424,1.6,4.0528,5.3782,0.71,0.36,1.55,46.9,28.9,4.99503,37,6.6936800000000005
6,Rb,Ge,B,0.0,-6.59927,0.99997,0.99941,4.5054,-0.79428,1.92,4.0528,7.4167,0.71,0.16,1.25,46.9,119.0,5.40527,37,7.5946
8,Rb,Sn,B,0.0,-7.17915,0.99993,0.99868,4.93922,-0.5934699999999999,1.84,4.0528,6.8885,0.71,0.345,1.45,46.9,107.3,5.33285,37,6.78685
10,Rb,Sb,B,0.0,-7.34127,0.99995,0.99906,2.85482,-1.15985,2.08,4.0528,8.3266,0.71,0.335,1.45,46.9,103.2,5.46279,37,6.22112
12,Cs,Sc,B,0.0,-4.64414,0.11245,0.20228,-25.23559,-0.49408,0.74,3.6887,6.8245,0.0,0.31,1.6,45.5,18.1,4.99877,55,6.70719
14,Cs,Ti,B,0.0,-4.46691,0.19559,0.27892,-32.481359999999995,-1.03025,0.79,3.6887,7.2564,0.0,0.28,1.4,45.5,7.6,5.03127,55,7.144539999999999
16,Cs,Zr,B,0.0,-4.65145,0.19003,0.28135,-24.75493,-0.49562,0.76,3.6887,6.8953,0.0,0.54,1.55,45.5,41.1,5.08551,55,6.47982
18,Cs,Hf,B,0.0,-4.6022,0.19346,0.28323000000000004,-28.3428,-0.49324,0.775,3.6887,7.6487,0.0,0.63,1.55,45.5,0.0,5.12945,55,6.48391
20,Cs,V,B,0.0,-4.44134,0.32018,0.33312,-38.74522,-1.59585,0.84,3.6887,6.4707,0.0,0.26,1.35,45.5,50.6,5.07428,55,6.3865
22,Cs,Nb,B,0.0,-5.09702,0.30027,0.35242,-31.23299,-1.65412,0.82,3.6887,6.275,0.0,0.51,1.45,45.5,86.1,5.18234,55,4.17325
24,Cs,Ta,B,0.0,-4.99026,0.27395,0.33759,-34.36057,-1.51941,0.83,3.6887,7.3632,0.0,0.605,1.45,45.5,31.0,5.21054,55,3.3595
