,Number of features,Mean RMSE
0,1.0,1.1626269274203707
1,2.0,0.8570642790772875
2,3.0,0.6459241467537006
3,4.0,0.5782847654704948
4,5.0,0.5629185272622158
5,6.0,0.5591151631042838
6,7.0,0.5339728335124209
7,8.0,0.533301878910229
8,9.0,0.5300701008601705
9,10.0,0.5345519846576887
10,11.0,0.5245830659263536
11,12.0,0.5169053008306551
12,13.0,0.5169824179479268
13,14.0,0.5167039131965959
14,15.0,0.5177390784743509
15,16.0,0.5130128447598693
16,17.0,0.5080417781372003
17,18.0,0.5097763604366087
18,19.0,0.5104785073420152
19,20.0,0.5116457071898715
20,21.0,0.519347331021897
